index,xt_after_resampling,wt_after_resampling
0,2.864,0.8004282654678287
1,3.042,0.46266698211964435
2,2.9779999999999998,0.6408311344611343
3,2.864,0.8004282654678287
4,2.9779999999999998,0.6408311344611343
5,2.93,0.2711710772977384
6,3.0,0.3797091668232739
7,3.106,0.9748078552626255
8,3.0,0.3797091668232739
9,2.998,0.8910172144008743
10,2.94,0.1454118063445417
11,2.9779999999999998,0.6408311344611343
12,2.998,0.8910172144008743
13,3.0,0.3797091668232739
14,2.9859999999999998,0.5523904381558129
15,2.94,0.1454118063445417
16,3.042,0.46266698211964435
17,2.9779999999999998,0.6408311344611343
18,2.9779999999999998,0.6408311344611343
19,2.94,0.1454118063445417
